Heure,Voie 1
ms,°C
,
91005,338.1
91208,411.05
91411,411.05
91613,471.13
91801,471.13
92003,521.17
92206,559.57
92409,559.57
92612,588.14
92815,588.14
93002,609.44
93205,625.54
93407,625.54
93610,636.63
93813,636.63
94000,644.52
94203,644.52
94406,649.91
94609,653.45
94811,653.45
95014,655.49
95201,655.49
95404,656.58
95607,656.78
95810,656.78
96013,656.75
96200,656.75
96403,655.4
96605,655.4
96808,654.39
97011,653.21
97214,653.21
97401,651.39
97604,651.39
97807,649.84
98009,648
98212,648
98415,646.73
98602,646.73
98805,645.19
99008,645.19
99211,643.69
99413,642.83
99601,642.83
99803,641.69
100006,641.69
100209,640.87
100412,640.1
100615,640.1
100802,639.87
101005,639.87
101207,639.54
101410,639.54
101613,639.05
101800,639.01
102003,639.01
102206,638.96
102409,638.96
102611,638.99
102814,638.54
103001,638.54
103204,638.99
103407,638.99
103610,639.09
103813,639.09
104000,638.77
104203,638.94
104405,638.94
104608,639.37
104811,639.37
105014,639.14
105201,639.14
105404,638.96
105607,638.99
105809,638.99
106012,639.44
106215,639.44
106402,638.99
106605,638.81
106808,638.81
107011,638.94
107213,638.94
107401,639.2
107603,639.2
107806,639.05
108009,638.88
108212,638.88
108415,639.18
108602,639.18
108805,638.86
109007,638.73
109210,638.73
109413,638.88
109600,638.88
109803,638.94
110006,638.94
110209,638.84
110411,638.58
110614,638.58
110802,638.75
111004,638.75
111207,638.58
111410,638.54
111613,638.54
111800,638.45
112003,638.45
112206,638.84
112408,638.84
112611,638.43
112814,638.41
113001,638.41
113204,638.19
113407,638.19
113610,638.56
113812,638.34
114000,638.34
114202,638.04
114405,638.04
114608,638.24
114811,638.24
115014,638
115201,637.83
115404,637.83
115606,637.68
115809,637.68
116012,637.98
116215,637.61
116402,637.61
116605,637.38
116808,637.38
117010,637.76
117213,637.76
117400,637.76
117603,637.31
117806,637.31
118009,637.36
118212,637.36
118414,637.46
118602,637.46
118804,637.46
119007,636.97
119210,636.97
119413,637.14
119600,637.14
119803,637.23
120006,636.82
120208,636.82
120411,636.54
120614,636.54
120801,636.67
121004,636.75
121207,636.75
121410,636.39
121612,636.39
121800,636.35
122002,636.35
122205,636.43
122408,636.05
122611,636.05
122814,635.92
123001,635.92
123204,635.87
123406,636.15
123609,636.15
123812,635.77
124015,635.77
124202,635.66
124405,635.66
124608,635.62
124810,635.55
125013,635.55
125200,635.45
125403,635.45
125606,635.25
125809,635.21
126012,635.21
126214,635.12
126402,635.12
126604,635
126807,635
127010,635.04
127213,634.95
127400,634.95
127603,634.74
127806,634.74
128008,634.44
128211,634.35
128414,634.35
128601,634.54
128804,634.54
129007,634.24
129210,634.24
129412,634.03
129600,634.12
129802,634.12
130005,633.79
130208,633.79
130411,633.54
130614,633.41
130801,633.41
131004,633.32
131206,633.32
131409,633.3
131612,633.3
131815,633.04
132002,633.02
132205,633.02
132408,632.93
132610,632.93
132813,632.61
133000,632.61
133203,632.38
133406,632.85
133609,632.85
133812,632.48
134014,632.48
134202,632.18
134404,632.25
134607,632.25
134810,632.03
135013,632.03
135200,631.95
135403,631.95
135606,631.56
135808,631.75
136011,631.75
136214,631.35
136401,631.35
136604,631.33
136807,631.03
137010,631.03
137212,631.07
137400,631.07
137602,630.87
137805,630.87
138008,630.62
138211,630.47
138414,630.47
138601,630.62
138804,630.62
139006,630.08
139209,629.89
139412,629.89
139615,630.15
139802,630.15
140005,630
140208,630
140410,629.61
140613,629.72
140800,629.72
141003,629.7
141206,629.7
141409,629.4
141612,629.03
141815,629.03
142002,629.16
142205,629.16
142407,629.03
142610,629.03
142813,628.9
143000,628.69
143203,628.69
143406,628.47
143609,628.47
143811,628.41
144014,628.24
144201,628.24
144404,628.02
144607,628.02
144810,628.15
145013,628.15
145200,627.81
145403,627.36
145605,627.36
145808,627.53
146011,627.53
146214,627.38
146401,627.17
146604,627.17
146807,627.04
147009,627.04
147212,626.78
147415,626.78
147602,626.76
147805,626.72
148008,626.72
148211,626.31
148413,626.31
148601,626.4
148803,626.29
149006,626.29
149209,625.95
149412,625.95
149615,625.88
149802,625.88
150005,625.8
150207,625.61
150410,625.61
150613,625.22
150800,625.22
151003,625.37
151206,625.13
151409,625.13
151611,624.79
151814,624.79
152001,624.62
152204,624.62
152407,624.81
152610,624.51
152813,624.51
153000,624.19
153203,624.19
153405,624
153608,624.19
153811,624.19
154014,623.91
154201,623.91
154404,623.4
154607,623.4
154809,623.53
155012,623.46
155215,623.46
155402,623.21
155605,623.21
155808,623.04
156011,623.19
156213,623.19
156401,622.95
156603,622.95
156806,622.54
157009,622.54
157212,622.54
157415,622.44
157602,622.44
157805,622.26
158007,622.26
158210,621.82
158413,621.71
158600,621.71
158803,621.9
159006,621.9
159209,621.45
159411,621.45
159614,621.69
159801,621.3
160004,621.3
160207,621.17
160410,621.17
160613,620.72
160800,620.72
161003,620.64
161205,620.62
161408,620.62
161611,620.4
161814,620.4
162001,620.23
162204,620.08
162407,620.08
162609,620.29
162812,620.29
163015,619.67
163202,619.67
163405,619.22
163608,619.4
163811,619.4
164013,619.25
164201,619.25
164403,619.16
164606,618.95
164809,618.95
165012,618.8
165215,618.8
165402,618.65
165605,618.65
165807,618.2
166010,618.15
166213,618.15
166400,618.32
166603,618.32
166806,617.9
167009,617.55
167211,617.55
167414,617.7
167601,617.7
167804,617.58
168007,617.58
168210,617.34
168413,617.23
168600,617.23
168803,617.19
169005,617.19
169208,616.78
169411,616.57
169614,616.57
169801,616.27
170004,616.27
170207,616.25
170409,616.25
170612,615.95
170815,615.82
171002,615.82
171205,615.78
171408,615.78
171611,615.78
171813,615.35
172001,615.35
172203,615.26
172406,615.26
172609,615.28
172812,615.28
173015,614.96
173202,614.51
173405,614.51
173608,614.79
173810,614.79
174013,614.53
174200,614.3
174403,614.3
174606,614.28
174809,614.28
175012,613.94
175214,613.94
175402,613.74
175604,613.66
175807,613.66
176010,613.49
176213,613.49
176400,613.36
176603,612.97
176806,612.97
177008,612.63
177211,612.63
177414,612.76
177601,612.76
177804,612.59
178007,612.14
178210,612.14
178412,612.09
178600,612.09
178802,612.11
179005,611.75
179208,611.75
179411,611.47
179614,611.47
179801,611.41
180004,611.41
180206,611.3
180409,611.11
180612,611.11
180815,610.72
181002,610.72
181205,610.79
181408,610.89
181610,610.89
181813,610.42
182000,610.42
182203,610.27
182406,610.27
182609,610.12
