Heure,Voie 1
ms,°C
,
9,26.42
212,26.06
415,26.42
602,26.22
805,26.31
1008,26.22
1210,26.23
1413,25.97
1600,26.06
1803,25.88
2006,26.42
2209,26.05
2412,26.04
2614,26.04
2802,25.95
3004,26.4
3207,25.94
3410,25.76
3613,26.02
3800,26.21
4003,26.2
4206,26.04
4408,25.68
4611,25.7
4814,25.97
5001,26.06
5204,26.08
5407,26.08
5610,26.08
5812,26.06
6000,26.96
6202,25.87
6405,26.13
6608,26.04
6811,26.4
7014,25.87
7201,26.24
7404,25.72
7606,26.08
7809,26.17
8012,26.26
8215,25.91
8402,26.17
8605,26.26
8808,26.34
9010,25.88
9213,25.88
9400,26.24
9603,25.97
9806,26.15
10009,26.06
10212,25.82
10414,26.26
10602,26.44
10804,25.99
11007,26.08
11210,26.08
11413,26.08
11600,26.11
11803,26.47
12006,26.47
12208,26.38
12411,26.29
12614,26.65
12801,26.31
13004,26.49
13207,26.31
13410,26.31
13612,27.01
13800,26.58
14002,26.49
14205,26.4
14408,26.21
14611,25.93
14814,26.56
15001,26.29
15204,26.29
15406,26.47
15609,26.83
15812,26.47
16015,26.47
16202,26.2
16405,26.17
16608,26.44
16811,26.26
17013,26.62
17201,26.35
17403,26.35
17606,26.08
17809,26.17
18012,26.47
18215,26.2
18402,26.29
18605,26.11
18807,26.29
19010,26.29
19213,26.03
19400,26.2
19603,26.47
19806,26.56
20009,26.29
20211,26.29
20414,26.2
20601,26.47
20804,26.02
21007,26.11
21210,26.02
21413,26.11
21600,26.29
21803,26.2
22005,25.73
22208,26.26
22411,26.19
22614,26.08
22801,26.26
23004,26.26
23207,25.99
23409,25.7
23612,26.24
23815,26.08
24002,26.44
24205,26.1
24408,26.38
24611,25.93
24813,26.11
25001,26.98
25203,26.1
25406,26.01
25609,25.93
25812,26.11
26015,26.31
26202,26.49
26405,26.23
26607,26.13
26810,26.13
27013,26.31
27200,26.51
27403,26.06
27606,26.51
27809,26.15
28011,26.33
28214,26.33
28401,26.24
28604,26.17
28807,26.44
29010,26.53
29213,26.53
29400,26.53
29603,26.71
29805,26.42
30008,26.51
30211,26.69
30414,26.41
30601,26.49
30804,26.76
31007,26.77
31209,26.33
31412,26.24
31615,26.51
31802,26.42
32005,26.6
32208,26.71
32411,26.26
32613,26.71
32801,26.17
33003,26.43
33206,26.51
33409,26.15
33612,26.15
33815,26.42
34002,26.42
34205,25.79
34407,26.07
34610,26.71
34813,26.35
35000,26.55
35203,26.35
35406,25.82
35609,26
35811,26.26
36014,26.26
36201,26.35
36404,26.24
36607,26.33
36810,26.33
37013,26.15
37200,26.15
37403,25.97
37605,26.33
37808,26.13
38011,26.31
38214,26.11
38401,26.02
38604,26.11
38807,26.4
39009,26.13
39212,25.95
39415,26.23
39602,26.67
39805,26.04
40008,26.2
40211,25.75
40413,26.2
40601,26.29
40803,26.1
41006,25.81
41209,25.91
41412,25.81
41615,26.28
41802,26.8
42005,26.1
42207,26.11
42410,26.2
42613,26.2
42800,26.29
43003,26.11
43206,26.47
43409,26.29
43611,26.26
43814,26.08
44001,26.08
44204,26.08
44407,26.07
44610,26.65
44813,26.65
45000,26.3
45203,26.13
45405,26.5
45608,26.33
45811,26.33
46014,26.44
46201,26.89
46404,26.56
46607,26.56
46810,26.2
47012,26.47
47200,26.74
47402,26.38
47605,26.66
47808,26.56
48011,26.38
48214,26.02
48401,26.2
48604,26.29
48806,26.2
49009,26.02
49212,26.56
49415,26.2
49602,26.29
49805,26.2
50008,26.11
50210,26.74
50413,25.93
50600,26.36
50803,26.17
51006,26.17
51209,26.51
51412,26.06
51614,26.24
51802,25.95
52004,25.97
52207,26.69
52410,25.88
52613,25.9
52800,26.35
53003,26.17
53206,26.51
53408,26.05
53611,25.87
53814,26.13
54001,25.88
54204,25.79
54407,26.42
54610,25.97
54812,25.97
55000,26.15
55202,25.79
55405,26.35
55608,26.08
55811,26
56014,26.53
56201,26.17
56404,26.45
56606,26.1
56809,26.53
57012,26.38
57215,26.47
57402,26.38
57605,26.29
57808,26.2
58010,26.47
58213,26.58
58400,26.4
58603,26.58
58806,26.76
59009,26.04
59212,26.3
59414,26.2
59602,26.47
59804,26.74
60007,26.74
60210,26.74
60413,26.74
60600,26.92
60803,25.84
61006,26.2
61208,26.2
61411,26.74
61614,26.3
61801,26.02
62004,26.48
62207,26.2
62410,26.74
62612,26.56
62800,26.2
63002,26.65
63205,26.44
63408,26.51
63611,26.43
63814,26.15
64001,26.17
64204,26.17
64406,26.53
64609,26.35
64812,26.53
65015,26.17
65202,26.08
65405,26.35
65608,26.11
65810,25.84
66013,26.38
66200,26.29
66403,26.38
66606,26.38
66809,26.38
67012,26.2
67214,26.44
67402,25.82
67604,25.9
67807,25.97
68010,25.97
68213,25.96
68400,26.33
68603,26.06
68806,25.61
69008,25.97
69211,25.97
69414,25.77
